epoch,train_loss,val_loss,best_val_so_far,source_file,source_path
78,0.6505,0.7671,,train-jepa-train-168364.out,/scratch/psp8502/dl-active-matter/logs/JEPA/train-jepa-train-168364.out
79,0.6502,0.7664,0.7671,train-jepa-train-168364.out,/scratch/psp8502/dl-active-matter/logs/JEPA/train-jepa-train-168364.out
80,0.6498,0.7632,0.7664,train-jepa-train-168364.out,/scratch/psp8502/dl-active-matter/logs/JEPA/train-jepa-train-168364.out
81,0.6493,0.7601,0.7632,train-jepa-train-168364.out,/scratch/psp8502/dl-active-matter/logs/JEPA/train-jepa-train-168364.out
82,0.6494,0.7587,0.7601,train-jepa-train-168364.out,/scratch/psp8502/dl-active-matter/logs/JEPA/train-jepa-train-168364.out
83,0.6493,0.7586,0.7587,train-jepa-train-168364.out,/scratch/psp8502/dl-active-matter/logs/JEPA/train-jepa-train-168364.out
84,0.649,0.7574,0.7586,train-jepa-train-168364.out,/scratch/psp8502/dl-active-matter/logs/JEPA/train-jepa-train-168364.out
85,0.6491,0.7546,0.7574,train-jepa-train-168364.out,/scratch/psp8502/dl-active-matter/logs/JEPA/train-jepa-train-168364.out
86,0.6488,0.7514,0.7546,train-jepa-train-168364.out,/scratch/psp8502/dl-active-matter/logs/JEPA/train-jepa-train-168364.out
87,0.6488,0.7534,0.7514,train-jepa-train-168364.out,/scratch/psp8502/dl-active-matter/logs/JEPA/train-jepa-train-168364.out
88,0.6484,0.7521,0.7514,train-jepa-train-168364.out,/scratch/psp8502/dl-active-matter/logs/JEPA/train-jepa-train-168364.out
89,0.6483,0.7476,0.7514,train-jepa-train-168364.out,/scratch/psp8502/dl-active-matter/logs/JEPA/train-jepa-train-168364.out
90,0.6483,0.7491,0.7476,train-jepa-train-168364.out,/scratch/psp8502/dl-active-matter/logs/JEPA/train-jepa-train-168364.out
91,0.648,0.7468,0.7476,train-jepa-train-168364.out,/scratch/psp8502/dl-active-matter/logs/JEPA/train-jepa-train-168364.out
92,0.6478,0.745,0.7468,train-jepa-train-168364.out,/scratch/psp8502/dl-active-matter/logs/JEPA/train-jepa-train-168364.out
93,0.6476,0.7447,0.745,train-jepa-train-168364.out,/scratch/psp8502/dl-active-matter/logs/JEPA/train-jepa-train-168364.out
94,0.6475,0.7433,0.7447,train-jepa-train-168364.out,/scratch/psp8502/dl-active-matter/logs/JEPA/train-jepa-train-168364.out
95,0.6475,0.7407,0.7433,train-jepa-train-168364.out,/scratch/psp8502/dl-active-matter/logs/JEPA/train-jepa-train-168364.out
96,0.6476,0.7398,0.7407,train-jepa-train-168364.out,/scratch/psp8502/dl-active-matter/logs/JEPA/train-jepa-train-168364.out
97,0.6473,0.7389,0.7398,train-jepa-train-168364.out,/scratch/psp8502/dl-active-matter/logs/JEPA/train-jepa-train-168364.out
98,0.6472,0.7413,0.7389,train-jepa-train-168364.out,/scratch/psp8502/dl-active-matter/logs/JEPA/train-jepa-train-168364.out
99,0.6476,0.7389,0.7389,train-jepa-train-168364.out,/scratch/psp8502/dl-active-matter/logs/JEPA/train-jepa-train-168364.out
